59	52
23	53
17	35
44	19
81	12
90	61
17	46
9	69
92	91
81	74
61	17
10	96
19	17
81	17
88	92
63	3
81	21
5	23
28	75
28	61
77	82
49	36
92	19
61	61
82	78
16	17
81	34
96	53
96	59
53	81
2	7
23	16
71	59
63	81
74	69
88	78
74	96
69	40
87	20
81	5
81	70
17	62
81	98
48	81
81	46
25	96
56	74
53	63
69	68
98	36
78	81
17	68
60	57
33	92
27	16
38	19
14	81
95	81
82	71
27	45
95	11
86	81
99	36
78	74
87	6
52	64
92	42
81	90
82	16
36	61
4	81
92	23
49	16
35	15
80	81
46	19
25	16
86	69
57	82
49	81
16	89
46	22
73	52
82	4
19	60
51	81
69	70
61	59
52	41
25	69
96	90
19	59
92	74
61	81
97	92
81	16
87	19
42	74
25	68
17	77
92	12
69	92
28	63
77	81
21	4
24	81
52	82
45	68
0	81
23	38
35	59
19	68
81	59
85	20
9	90
43	20
84	52
93	17
95	16
91	81
88	59
79	68
82	81
26	19
46	71
94	57
16	2
21	75
81	93
71	61
86	60
25	59
19	65
40	16
73	54
19	25
81	97
37	49
52	45
88	81
12	59
75	9
69	73
19	69
13	12
71	81
34	96
4	16
35	81
49	25
8	65
53	15
62	52
16	19
92	92
74	64
45	92
15	81
81	38
25	9
13	81
92	58
52	30
57	53
57	69
79	11
28	14
81	81
81	96
63	35
72	19
17	63
29	55
81	45
82	96
49	38
20	81
37	8
16	90
93	58
19	31
29	81
73	81
28	52
92	81
73	25
81	89
59	66
83	8
19	12
57	81
59	41
93	86
35	20
32	25
75	16
6	91
28	19
1	59
57	88
43	81
81	50
30	39
95	49
19	36
81	94
26	92
48	15
49	30
23	90
2	74
19	19
74	43
81	67
49	61
95	47
69	87
69	36
59	90
59	76
49	35
59	16
1	65
25	81
31	81
28	74
45	74
25	45
88	19
61	37
24	92
90	88
92	64
18	61
65	16
74	19
19	43
46	92
38	69
68	7
57	49
89	61
69	93
92	90
81	1
50	33
19	49
10	81
87	81
36	81
28	9
74	36
25	63
88	45
66	69
76	43
81	37
80	16
56	96
45	73
23	74
81	28
19	64
19	96
1	36
45	3
41	22
25	47
81	41
64	85
74	46
92	61
95	25
81	99
49	45
45	45
52	81
49	9
18	81
64	0
9	4
23	28
81	44
67	92
36	60
56	43
19	81
57	89
90	17
59	23
61	88
92	10
51	96
16	84
94	92
61	20
41	37
81	55
54	74
61	95
59	58
12	52
9	35
56	81
35	19
41	93
90	83
71	30
41	90
17	82
36	32
56	63
39	81
19	45
2	81
81	23
16	57
49	52
17	92
36	73
54	46
74	9
84	36
43	3
43	28
19	95
17	45
81	69
81	54
81	72
96	61
73	92
35	73
54	78
49	88
81	7
82	0
36	28
77	7
19	20
87	74
17	28
74	88
74	59
92	15
68	81
