67	98
54	47
61	93
96	66
99	68
85	53
31	1
26	64
94	40
25	86
94	77
39	11
25	51
91	94
81	16
51	33
53	16
18	7
3	46
22	80
90	85
37	94
8	32
16	12
6	60
2	34
27	87
62	82
32	95
64	1
40	55
98	66
90	91
91	31
91	87
6	0
49	64
83	53
6	9
7	51
32	56
67	74
83	92
33	79
39	34
73	4
91	54
26	45
55	43
20	91
54	44
64	91
92	33
19	89
92	49
87	46
32	19
76	96
33	97
17	0
66	51
38	43
8	67
31	60
70	79
84	2
85	10
51	78
69	36
7	78
71	72
69	52
91	62
45	76
91	28
42	82
59	79
33	56
7	94
99	94
4	94
14	54
48	41
6	1
27	18
24	68
56	54
38	1
65	39
63	17
85	41
30	87
80	37
65	40
76	12
50	37
51	64
81	35
3	85
0	87
69	32
93	56
42	85
29	76
33	32
44	47
69	57
94	72
20	54
63	28
51	89
37	9
73	68
18	14
84	51
70	82
55	59
39	22
7	21
98	44
46	37
89	75
71	61
58	24
65	36
95	13
90	58
10	79
42	29
55	32
32	20
54	94
97	78
91	23
11	7
75	98
50	89
78	88
23	77
48	13
57	72
54	86
1	51
88	74
75	58
15	85
78	30
15	5
37	21
98	92
35	87
5	61
4	52
31	44
27	55
